vgg16,vgg19,squeezenet,goolenet,alexnet,resnet152,neumf,adgcl,vgg16_num,vgg19_num,squeezenet_num,goolenet_num,alexnet_num,resnet152_num,neumf_num,adgcl_num,sum_interference,product_interference
1,0,0,0,0,0,0,0,10,00,00,00,00,00,00,00,0.7323010000928422,0.13226240042599252
1,1,0,0,0,0,0,0,01,01,00,00,00,00,00,00,0.9319301551668351,0.2152628866364339
1,0,1,0,0,0,0,0,01,00,01,00,00,00,00,00,0.7235282034393083,0.12045913821087888
1,0,0,1,0,0,0,0,01,00,00,01,00,00,00,00,0.28385415325212565,0.017215333937258114
1,0,0,0,1,0,0,0,01,01,00,00,01,00,00,00,1.1017341126523161,0.11253904763103584
1,0,0,0,0,1,0,0,01,00,00,00,00,01,00,00,0.7183717132200143,0.12797374933181815
1,0,0,0,0,0,1,0,01,00,00,00,00,00,01,00,0.5793330690486365,0.07948009738012253
1,0,0,0,0,0,0,1,01,00,00,00,00,00,00,01,0.5168148093524191,0.06239141494115964
0,1,0,0,0,0,0,0,00,10,00,00,00,00,00,00,0.9048263653962678,0.20449026854540667
0,1,1,0,0,0,0,0,00,01,01,00,00,00,00,00,0.8017162077423645,0.11948803058483648
0,1,0,1,0,0,0,0,00,01,00,01,00,00,00,00,0.2957732495578262,0.020849265119969512
0,1,0,0,1,0,0,0,00,01,00,00,01,00,00,00,1.3114605887002437,0.12492729243561268
0,1,0,0,0,1,0,0,00,01,00,00,00,01,00,00,1.0503460080495919,0.27383756962009664
0,1,0,0,0,0,1,0,00,01,00,00,00,00,01,00,0.44960556066003454,0.039262762002094616
0,1,0,0,0,0,0,1,00,01,00,00,00,00,00,01,0.5083199147070961,0.06296081489256053
0,0,1,0,0,0,0,0,00,00,10,00,00,00,00,00,0.11496273618986952,0.0032013352844392
0,0,1,1,0,0,0,0,00,00,01,01,00,00,00,00,0.07983507411098999,0.0010649237379750614
0,0,1,0,1,0,0,0,00,00,01,00,01,00,00,00,0.9616336061491901,0.13823334839678522
0,0,1,0,0,1,0,0,00,00,01,00,00,01,00,00,0.6560555178623246,0.10032515135255096
0,0,1,0,0,0,1,0,00,00,01,00,00,00,01,00,0.3445009194095906,0.017984158109021445
0,0,1,0,0,0,0,1,00,00,01,00,00,00,00,01,0.39538995015250356,0.03905383069561284
0,0,0,1,1,0,0,0,00,00,00,01,01,00,00,00,0.11496273618986952,0.0032013352844392
0,0,0,1,0,0,1,0,00,00,00,01,00,00,01,00,0.10477607579761182,0.00141364530822542
0,0,0,1,1,0,0,1,00,00,00,01,00,00,00,01,0.09332174151976326,0.0005076170810527329
0,0,0,0,1,0,0,0,00,00,00,00,10,00,00,00,3.0882943623241514,2.380237941850566
0,0,0,0,1,1,0,0,00,00,00,00,01,01,00,00,1.1639090788778033,0.1924986302040624
0,0,0,0,1,0,1,0,00,00,00,00,01,00,01,00,0.9453267705739185,0.05301599782489277
0,0,0,0,1,0,0,1,00,00,00,00,01,00,00,01,0.9328710605068979,0.06735154177332149
0,0,0,0,0,1,1,0,00,00,00,00,00,01,01,00,0.28424830528247985,0.0057521604197292376
0,0,0,0,0,1,0,1,00,00,00,00,00,01,00,01,0.4114363745619707,0.036064760618394774
0,0,0,0,0,0,1,0,00,00,00,00,00,00,01,00,0.05762508460258693,0.0004990739354219437
0,0,0,0,0,0,1,1,00,00,00,00,00,00,01,01,0.20549978330937405,0.00890402791539551
0,0,0,0,0,0,0,1,00,00,00,00,00,00,00,10,0.31294751447891944,0.0244695548258963
1,0,0,0,0,0,0,0,11,00,00,00,00,00,00,00,2.3401374245046416,0.4742095361214124
1,1,0,0,0,0,0,0,10,01,00,00,00,00,00,00,2.3679013782068505,0.48867394382785506
1,0,1,0,0,0,0,0,10,00,01,00,00,00,00,00,0.9866701182393066,0.02040102595897462
1,0,0,1,0,0,0,0,10,00,00,01,00,00,00,00,1.4667089950332632,0.10958804990447277
1,0,0,0,1,0,0,0,10,00,00,00,01,00,00,00,2.1689586547125037,0.30193192020281767
1,0,0,0,0,0,1,0,10,00,00,00,00,00,01,00,1.1227108389273335,0.04275865828469472
1,0,0,0,0,0,0,1,10,00,00,00,00,00,00,01,1.4902223582494,0.10411982933891306
1,1,0,0,0,0,0,0,01,10,00,00,00,00,00,00,2.627937256362252,0.6718873709355836
0,1,0,0,0,0,0,0,00,11,00,00,00,00,00,00,2.866997406368733,0.8727744330036337
0,1,1,0,0,0,0,0,00,10,01,00,00,00,00,00,1.0275621589763055,0.0224610819020062
0,1,0,1,0,0,0,0,00,10,00,01,00,00,00,00,1.7036652564420824,0.16364097114837933
0,1,0,0,1,0,0,0,00,10,00,00,01,00,00,00,2.2712568605229624,0.37947520998429507
0,1,0,0,0,0,1,0,00,10,00,00,00,00,01,00,1.5436270819466937,0.10955487779489495
0,1,0,0,0,0,0,1,00,10,00,00,00,00,00,01,1.548400769225168,0.08806300933961224
1,0,1,0,0,0,0,0,01,00,10,00,00,00,00,00,0.4859068027965058,0.004169725077450875
0,1,1,0,0,0,0,0,00,01,10,00,00,00,00,00,0.47089024750796254,0.003783166201320751
0,0,1,0,0,0,0,0,00,00,11,00,00,00,00,00,0.43193758277695826,0.002738191256547326
0,0,1,1,0,0,0,0,00,00,10,01,00,00,00,00,0.5201995025412282,0.004958291019492392
0,0,1,0,1,0,0,0,00,00,10,00,01,00,00,00,1.6644971514646607,0.08998916300639553
0,0,1,0,0,1,0,0,00,00,10,00,00,01,00,00,0.5720177392350563,0.006308467271655458
0,0,1,0,0,0,1,0,00,00,10,00,00,00,01,00,0.32030515995951325,0.001091794234957427
0,0,1,0,0,0,0,1,00,00,10,00,00,00,00,01,0.7238141825230932,0.013202110338761943
0,0,1,1,0,0,0,0,00,00,01,10,00,00,00,00,0.5509482237924404,0.006185745748793695
