pod_name,submit_time
yolov5-nbcnt,1687779721.9861314
lstm-d76rs,1687779963.4587436
squeezenet-dwfpd,1687780101.1072717
resnet50-c56jl,1687780113.1265357
neumf-fw2kv,1687780117.8625364
squeezenet-8cknm,1687780375.9683166
yolov5-jz8bm,1687780571.078968
resnet50-kpjk2,1687780571.3301702
squeezenet-bqmx6,1687780579.4048119
neumf-kqpg5,1687780643.1286204
bert-4cn5v,1687780643.2509804
neumf-vbx25,1687780643.374234
resnet50-vvccq,1687780666.116065
lstm-ww9gl,1687780667.120752
neumf-jb8wr,1687780669.0444474
resnet50-nlpgx,1687780715.3324378
bert-gd2pp,1687780917.2465181
bert-lgjv8,1687781037.5050223
yolov5-6x5qz,1687781108.3699553
bert-w8xpg,1687781108.5117006
resnet50-d57tc,1687781164.9929183
lstm-b9b9h,1687781243.5986068
bert-dpbm5,1687781366.0901213
lstm-wwfjj,1687781441.4288747
squeezenet-4qm59,1687781608.9381459
vgg16-x4d6r,1687781622.8632474
squeezenet-59pg8,1687781658.691232
neumf-jkfss,1687781663.005055
bert-48gwd,1687781683.9968672
bert-gld9t,1687781684.1216125
squeezenet-gzvlk,1687781684.2552779
yolov5-7qhzv,1687781742.062783
resnet50-qgf9l,1687781785.3299737
yolov5-q5mxh,1687781803.3979232
neumf-26pjx,1687781833.1305375
vgg16-p72mt,1687781833.2681584
lstm-pv7lh,1687781843.336393
squeezenet-bgqhm,1687781867.96927
yolov5-bvvqx,1687781875.6617618
lstm-fscp9,1687781918.1451538
vgg16-dt8l5,1687781918.3356879
neumf-wgbtp,1687781941.1817262
yolov5-tzhpd,1687781964.4872224
resnet50-wcxcb,1687781964.8300278
resnet50-g6kqk,1687781964.958959
yolov5-hh656,1687781965.114058
resnet50-rld26,1687782149.751207
neumf-r848f,1687782221.3051124
resnet50-h5586,1687782279.0672066
bert-zw6gt,1687782345.466207
