pod_name,submit_time
yolov5-xl5dh,1687335457.094679
adgcl-sfxgj,1687335698.538068
squeezenet-v7qlg,1687335836.112905
resnet50-ht2tq,1687335848.1367805
neumf-f5lkn,1687335852.8763423
squeezenet-v5j5c,1687336110.991327
adgcl-8rhh4,1687336306.1331058
squeezenet-bhhlm,1687336306.3869896
neumf-qsqdx,1687336314.4683037
lstm-2thkv,1687336378.1705706
bert-lzvq7,1687336378.2930984
neumf-49xt7,1687336378.420474
resnet50-qs7lq,1687336401.1648464
adgcl-7ghm4,1687336402.17
lstm-xp9sj,1687336404.0937464
resnet50-55pbq,1687336450.3800611
bert-jm47d,1687336652.2937925
bert-dprdw,1687336772.5171163
yolov5-q9d66,1687336843.421904
bert-t7j67,1687336843.5583038
squeezenet-jqpwb,1687336900.083258
adgcl-vpkh7,1687336978.6370938
bert-d9jmh,1687337101.1334853
adgcl-k46zg,1687337176.4355607
neumf-sft9s,1687337343.9772034
vgg16-l9nj4,1687337357.8981678
neumf-8rvcb,1687337393.723168
lstm-lt6xs,1687337398.0358472
bert-t49rv,1687337419.0432382
bert-ssmq7,1687337419.1670895
neumf-tv5z5,1687337419.3117526
yolov5-xbcjq,1687337477.1278841
resnet50-p6f8c,1687337520.3566885
yolov5-7k8xt,1687337538.4255378
neumf-kmvhl,1687337568.1812894
vgg16-kp8zm,1687337568.320552
adgcl-z7zzz,1687337578.3809214
squeezenet-6b6rx,1687337603.017407
yolov5-zzpxg,1687337610.708938
lstm-tw7m5,1687337653.1936066
vgg16-ns2mp,1687337653.385855
neumf-x2kjm,1687337676.227435
yolov5-944sg,1687337699.5150383
resnet50-45m6f,1687337699.85742
squeezenet-gw8pv,1687337699.9905396
yolov5-v77t9,1687337700.149516
resnet50-9ms7k,1687337884.7884953
lstm-mqcwm,1687337956.3021212
resnet50-6sl8b,1687338014.1038308
bert-wvtrt,1687338080.5031092
yolov5-gm5rr,1687338089.0542605
neumf-gks9v,1687338095.475296
vgg16-rrbk6,1687338098.3422637
squeezenet-gvp77,1687338121.492983
neumf-qdfct,1687338143.185178
bert-mwkm9,1687338144.3304145
vgg16-4q8rv,1687338144.7577488
lstm-tcckr,1687338171.1196034
adgcl-s6lmp,1687338202.4457252
neumf-scn9n,1687338203.570618
yolov5-c4xbn,1687338216.1879106
neumf-cz4pg,1687338219.3552358
bert-6wf54,1687338219.4774916
lstm-h8n5t,1687338232.4491165
